day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,Data bahasa indonesia
7,塗る,ぬる,MENCAT,壁にペンキを塗ります。,SAYA MENGECAT DINDING.,パンにバターを塗りました。,SAYA MENGOLESKAN MENTEGA PADA ROTI.,mencat
7,濡れる,ぬれる,MENJADI BASAH,雨で服が濡れました。,BAJU SAYA BASAH KARENA HUJAN.,水に入って靴が濡れました。,SEPATU SAYA BASAH KARENA MASUK KE AIR.,menjadi basah
8,脱ぐ,ぬぐ,MENANGGALKAN,家に帰ったら靴を脱ぎます。,"SETELAH PULANG, SAYA MELEPAS SEPATU.",暑いので上着を脱ぎました。,"KARENA PANAS, SAYA MELEPAS JAKET.",menanggalkan
8,寝る,ねる,TIDUR,毎晩十一時に寝ます。,SETIAP MALAM SAYA TIDUR PUKUL SEBELAS.,昨日は早く寝ました。,KEMARIN SAYA TIDUR LEBIH AWAL.,tidur
8,登る,のぼる,MENDAKI,山に登ります。,SAYA MENDAKI GUNUNG.,日曜日に富士山に登りました。,HARI MINGGU SAYA MENDAKI GUNUNG FUJI.,mendaki
8,飲む,のむ,MINUM,毎朝、水を飲みます。,SETIAP PAGI SAYA MINUM AIR.,薬を飲んでください。,TOLONG MINUM OBAT.,minum
8,乗る,のる,NAIK (KENDARAAN),毎日電車に乗ります。,SETIAP HARI SAYA NAIK KERETA.,バスに乗って学校へ行きました。,SAYA NAIK BUS KE SEKOLAH.,naik (kendaraan)
8,残る,のこる,MENYISAKAN,冷蔵庫にケーキが残っています。,MASIH ADA KUE TERSISA DI KULKAS.,仕事が少し残りました。,MASIH ADA SEDIKIT PEKERJAAN TERSISA.,menyisakan
8,入る,はいる,MASUK,部屋に入ります。,SAYA MASUK KE KAMAR.,八時に学校へ入りました。,SAYA MASUK SEKOLAH PUKUL DELAPAN.,masuk
8,履く,はく,MEMAKAI (SEPATU),毎朝、靴を履きます。,SETIAP PAGI SAYA MEMAKAI SEPATU.,新しいズボンを履きました。,SAYA MEMAKAI CELANA BARU.,memakai (sepatu)
8,運ぶ,はこぶ,MENGANGKUT,荷物を部屋へ運びます。,SAYA MEMBAWA BARANG KE KAMAR.,友達と机を運びました。,SAYA MEMINDAHKAN MEJA BERSAMA TEMAN.,mengangkut
8,始まる,はじまる,MULAI,授業は九時に始まります。,PELAJARAN DIMULAI PUKUL SEMBILAN.,映画がもう始まりました。,FILM SUDAH DIMULAI.,mulai
8,走る,はしる,BERLARI,毎朝、公園で走ります。,SETIAP PAGI SAYA BERLARI DI TAMAN.,電車に間に合うように走りました。,SAYA BERLARI AGAR TIDAK KETINGGALAN KERETA.,berlari
8,働く,はたらく,BEKERJA,会社で働いています。,SAYA BEKERJA DI PERUSAHAAN.,父は毎日働きます。,AYAH BEKERJA SETIAP HARI.,bekerja
8,話す,はなす,BERBICARA,先生と日本語で話します。,SAYA BERBICARA DENGAN GURU DALAM BAHASA JEPANG.,友達と電話で話しました。,SAYA BERBICARA DENGAN TEMAN MELALUI TELEPON.,berbicara
8,張る,はる,MENEMPELKAN,テントを張ります。,SAYA MENDIRIKAN TENDA.,壁にポスターを張りました。,SAYA MENEMPEL POSTER DI DINDING.,menempelkan
8,払う,はらう,MEMBAYAR,レストランでお金を払います。,SAYA MEMBAYAR UANG DI RESTORAN.,カードで払いました。,SAYA MEMBAYAR DENGAN KARTU.,membayar
8,晴れる,はれる,MENJADI CERAH,明日は晴れるでしょう。,BESOK MUNGKIN CERAH.,雨がやんで空が晴れました。,HUJAN BERHENTI DAN LANGIT MENJADI CERAH.,menjadi cerah
8,引く,ひく,MENARIK,ドアを引いてください。,TOLONG TARIK PINTUNYA.,重い箱を引きました。,SAYA MENARIK KOTAK YANG BERAT.,menarik
8,弾く,ひく,MEMAINKAN (GITAR),ピアノを弾きます。,SAYA BERMAIN PIANO.,姉はギターを上手に弾きます。,KAKAK PEREMPUAN BISA BERMAIN GITAR DENGAN BAIK.,memainkan (gitar)
8,冷える,ひえる,MENJADI DINGIN,夜は体が冷えます。,TUBUH MENJADI DINGIN PADA MALAM HARI.,冷たい水で手が冷えました。,TANGAN MENJADI DINGIN KARENA AIR DINGIN.,menjadi dingin
8,光る,ひかる,BERSINAR,星がきれいに光っています。,BINTANG-BINTANG BERSINAR DENGAN INDAH.,夜に月が光りました。,BULAN BERSINAR PADA MALAM HARI.,bersinar
9,引き出す,ひきだす,MENARIK KELUAR,銀行でお金を引き出します。,SAYA MENARIK UANG DI BANK.,ATMから一万円を引き出しました。,SAYA MENARIK SEPULUH RIBU YEN DARI ATM.,menarik keluar
9,引く,ひく,MEMAINKAN (ALAT MUSIK),ドアを引いてください。,TOLONG TARIK PINTUNYA.,重い箱を引きました。,SAYA MENARIK KOTAK YANG BERAT.,memainkan (alat musik)
9,引っ越す,ひっこす,PINDAH RUMAH,来月、新しい家に引っ越します。,BULAN DEPAN SAYA PINDAH KE RUMAH BARU.,去年、大阪へ引っ越しました。,TAHUN LALU SAYA PINDAH KE OSAKA.,pindah rumah
9,開く,ひらく,"MEMBUKA (ACARA, EVENT)",店を開きます。,SAYA MEMBUKA TOKO.,先生が本を開きました。,GURU MEMBUKA BUKU.,"membuka (acara, event)"
9,拾う,ひろう,MEMUNGUT,道で財布を拾いました。,SAYA MENEMUKAN DOMPET DI JALAN.,公園でごみを拾います。,SAYA MEMUNGUT SAMPAH DI TAMAN.,memungut
9,吹く,ふく,MENIUP/BERTIUP,風が強く吹いています。,ANGIN BERTIUP KENCANG.,笛を吹きました。,SAYA MENIUP SERULING.,meniup/bertiup
9,増える,ふえる,BERTAMBAH,最近、外国人が増えました。,BELAKANGAN INI JUMLAH ORANG ASING BERTAMBAH.,仕事が増えています。,PEKERJAAN SEMAKIN BERTAMBAH.,bertambah
9,太る,ふとる,BERTAMBAH GEMUK,食べすぎると太ります。,"KALAU TERLALU BANYAK MAKAN, BERAT BADAN BERTAMBAH.",最近、少し太りました。,AKHIR-AKHIR INI SAYA SEDIKIT GEMUK.,bertambah gemuk
9,踏む,ふむ,MELANGKAH,階段を一段ずつ踏みます。,SAYA MENGINJAK TANGGA SATU PER SATU.,靴で花を踏まないでください。,JANGAN MENGINJAK BUNGA DENGAN SEPATU.,melangkah
9,降る,ふる,TURUN,今日は雨が降っています。,HARI INI SEDANG HUJAN.,冬に雪が降ります。,PADA MUSIM DINGIN TURUN SALJU.,turun
9,褒める,ほめる,MEMUJI,先生が私を褒めました。,GURU MEMUJI SAYA.,母は子どもをよく褒めます。,IBU SERING MEMUJI ANAK.,memuji
9,曲がる,まがる,BERBELOK/BENGKOK,次の角を右に曲がります。,BELOK KANAN DI SUDUT BERIKUTNYA.,この道は左に曲がります。,JALAN INI BELOK KE KIRI.,berbelok/bengkok
9,負ける,まける,KALAH,試合で負けました。,SAYA KALAH DALAM PERTANDINGAN.,強い相手には負けたくないです。,SAYA TIDAK INGIN KALAH DARI LAWAN YANG KUAT.,kalah
9,間に合う,まにあう,TEPAT WAKTU,八時の電車に間に合いました。,SAYA TIDAK TERLAMBAT UNTUK KERETA PUKUL DELAPAN.,急げば学校に間に合います。,"KALAU CEPAT, KITA AKAN TEPAT WAKTU KE SEKOLAH.",tepat waktu
9,待つ,まつ,MENUNGGU,駅で友達を待ちます。,SAYA MENUNGGU TEMAN DI STASIUN.,ここで少し待ってください。,TOLONG TUNGGU SEBENTAR DI SINI.,menunggu
9,間違える,まちがえる,MELAKUKAN KESALAHAN,名前を間違えました。,SAYA SALAH MENULIS NAMA.,答えを一つ間違えました。,SAYA SALAH SATU JAWABAN.,melakukan kesalahan
9,回る,まわる,MENGELILINGI,地球は太陽の周りを回ります。,BUMI BERPUTAR MENGELILINGI MATAHARI.,店を回って買い物をしました。,SAYA BERKELILING TOKO UNTUK BERBELANJA.,mengelilingi
9,磨く,みがく,MENGGOSOK,毎朝、歯を磨きます。,SETIAP PAGI SAYA MENYIKAT GIGI.,寝る前に靴を磨きました。,SEBELUM TIDUR SAYA MEMBERSIHKAN/MENGOLES SEPATU.,menggosok
9,見つかる,みつかる,DITEMUKAN,なくした鍵が見つかりました。,KUNCI YANG HILANG DITEMUKAN.,いいホテルが見つかりました。,HOTEL YANG BAGUS SUDAH DITEMUKAN.,ditemukan
9,見つける,みつける,MENEMUKAN,駅で友達を見つけました。,SAYA MENEMUKAN TEMAN DI STASIUN.,新しい仕事を見つけたいです。,SAYA INGIN MENEMUKAN PEKERJAAN BARU.,menemukan
10,見せる,みせる,MEMPERLIHATKAN,写真を見せてください。,TOLONG PERLIHATKAN FOTONYA.,先生に作文を見せました。,SAYA MEMPERLIHATKAN KARANGAN KEPADA GURU.,memperlihatkan
10,見る,みる,MELIHAT,毎晩テレビを見ます。,SETIAP MALAM SAYA MENONTON TV.,昨日、映画を見ました。,KEMARIN SAYA MENONTON FILM.,melihat
10,向かう,むかう,MENGHADAPI,駅へ向かいます。,SAYA MENUJU STASIUN.,今、会社に向かっています。,SEKARANG SAYA SEDANG MENUJU KANTOR.,menghadapi
10,迎える,むかえる,MENDEKATI,駅へ友達を迎えに行きます。,SAYA PERGI MENJEMPUT TEMAN KE STASIUN.,父を空港へ迎えに行きました。,SAYA PERGI MENJEMPUT AYAH KE BANDARA.,mendekati
10,持つ,もつ,MEMBAWA,かばんを持ちます。,SAYA MEMBAWA/MEMEGANG TAS.,この荷物を持ってください。,TOLONG BAWA BARANG INI.,membawa
10,召し上がる,めしあがる,MAKAN (HORMAT),どうぞ、たくさん召し上がってください。,SILAKAN MAKAN SEBANYAK-BANYAKNYA.,先生は昼ご飯を召し上がりました。,GURU SUDAH MAKAN SIANG.,makan (hormat)
10,申し上げる,もうしあげる,MENGATAKAN (HORMAT),先生にお礼を申し上げます。,SAYA MENYAMPAIKAN TERIMA KASIH KEPADA GURU.,心からお祝いを申し上げます。,SAYA MENYAMPAIKAN UCAPAN SELAMAT DENGAN TULUS.,mengatakan (hormat)
10,申す,もうす,BERKATA (HORMAT),私は田中と申します。,NAMA SAYA TANAKA.,父は山田と申します。,AYAH SAYA BERNAMA YAMADA.,berkata (hormat)
10,戻る,もどる,KEMBALI,仕事が終わったら家に戻ります。,"SETELAH PEKERJAAN SELESAI, SAYA KEMBALI KE RUMAH.",忘れ物を取りに学校へ戻りました。,SAYA KEMBALI KE SEKOLAH UNTUK MENGAMBIL BARANG YANG TERTINGGAL.,kembali
10,貰う,もらう,MENERIMA,友達からプレゼントを貰いました。,SAYA MENERIMA HADIAH DARI TEMAN.,母からお金を貰いました。,SAYA MENERIMA UANG DARI IBU.,menerima
10,焼く,やく,MEMANGGANG,魚を焼きます。,SAYA MEMANGGANG IKAN.,パンをオーブンで焼きました。,SAYA MEMANGGANG ROTI DI OVEN.,memanggang
10,役に立つ,やくにたつ,BERGUNA,この本は日本語の勉強に役に立ちます。,BUKU INI BERGUNA UNTUK BELAJAR BAHASA JEPANG.,このアプリはとても役に立ちます。,APLIKASI INI SANGAT BERGUNA.,berguna
10,休む,やすむ,BERISTIRAHAT,今日は仕事を休みます。,HARI INI SAYA LIBUR DARI KERJA.,疲れたので少し休みました。,"KARENA LELAH, SAYA BERISTIRAHAT SEBENTAR.",beristirahat
10,痩せる,やせる,MENJADI KURUS,運動して少し痩せました。,SAYA SEDIKIT KURUS KARENA BEROLAHRAGA.,健康のために痩せたいです。,SAYA INGIN MENURUNKAN BERAT BADAN DEMI KESEHATAN.,menjadi kurus
10,やる,やる,MELAKUKAN,宿題をやります。,SAYA MENGERJAKAN PR.,週末に部屋の掃除をやりました。,AKHIR PEKAN SAYA MEMBERSIHKAN KAMAR.,melakukan
10,辞める,やめる,BERHENTI,来月、会社を辞めます。,BULAN DEPAN SAYA BERHENTI DARI PERUSAHAAN.,仕事を辞めて学校へ行きました。,SAYA BERHENTI BEKERJA LALU PERGI KE SEKOLAH.,berhenti
10,呼ぶ,よぶ,MEMANGGIL,先生を呼びます。,SAYA MEMANGGIL GURU.,タクシーを呼びました。,SAYA MEMANGGIL TAKSI.,memanggil
10,読む,よむ,MEMBACA,毎日、本を読みます。,SETIAP HARI SAYA MEMBACA BUKU.,昨日、新聞を読みました。,KEMARIN SAYA MEMBACA KORAN.,membaca
10,喜ぶ,よろこぶ,BERSUKA CITA,母はプレゼントを喜びました。,IBU SENANG DENGAN HADIAH ITU.,子どもが合格して家族は喜びました。,KELUARGA SENANG KARENA ANAK LULUS.,bersuka cita
10,沸かす,わかす,MENDIDIHKAN,お湯を沸かします。,SAYA MENDIDIHKAN AIR.,朝、やかんでお湯を沸かしました。,PAGI HARI SAYA MENDIDIHKAN AIR DENGAN KETEL.,mendidihkan
11,沸く,わく,MENDIDIH,お湯が沸きました。,AIR SUDAH MENDIDIH.,鍋の水が沸いています。,AIR DI PANCI SEDANG MENDIDIH.,mendidih
11,分かる,わかる,MENGERTI,日本語が少し分かります。,SAYA SEDIKIT MENGERTI BAHASA JEPANG.,この問題の答えが分かりました。,SAYA SUDAH MENGERTI JAWABAN SOAL INI.,mengerti
11,別れる,わかれる,BERPISAH,駅で友達と別れました。,SAYA BERPISAH DENGAN TEMAN DI STASIUN.,卒業して友達と別れるのは寂しいです。,SEDIH RASANYA BERPISAH DENGAN TEMAN SETELAH LULUS.,berpisah
11,忘れる,わすれる,LUPA,宿題を忘れました。,SAYA LUPA PR.,傘を電車に忘れました。,SAYA MENINGGALKAN PAYUNG DI KERETA.,lupa
11,割る,わる,TERBAGI,卵を割ります。,SAYA MEMECAHKAN TELUR.,コップを落として割りました。,SAYA MENJATUHKAN DAN MEMECAHKAN GELAS.,terbagi
11,割れる,われる,MEMBAGI,窓が割れました。,JENDELA PECAH.,コップが床に落ちて割れました。,GELAS JATUH KE LANTAI DAN PECAH.,membagi
11,渡す,わたす,MENYERAHKAN,先生に書類を渡します。,SAYA MEMBERIKAN DOKUMEN KEPADA GURU.,友達にプレゼントを渡しました。,SAYA MEMBERIKAN HADIAH KEPADA TEMAN.,menyerahkan
11,渡る,わたる,MENYEBRANG,横断歩道を渡ります。,SAYA MENYEBERANG DI ZEBRA CROSS.,橋を渡って駅へ行きます。,SAYA MENYEBERANG JEMBATAN LALU PERGI KE STASIUN.,menyebrang
