grup,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
Bagian Pakaian,上着,うわぎ,PAKAIAN LUAR,着替えのために上着を準備します。,Siapkan pakaian luar untuk mengganti pakaian.,利用者が使いやすいように上着を整えます。,Atur pakaian luar agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,シャツ,,KEMEJA,着替えのためにシャツを準備します。,Siapkan kemeja untuk mengganti pakaian.,利用者が使いやすいようにシャツを整えます。,Atur kemeja agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,セーター,,SWETER,着替えのためにセーターを準備します。,Siapkan sweter untuk mengganti pakaian.,利用者が使いやすいようにセーターを整えます。,Atur sweter agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,パジャマ,,PIYAMA,着替えのためにパジャマを準備します。,Siapkan piyama untuk mengganti pakaian.,利用者が使いやすいようにパジャマを整えます。,Atur piyama agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,肌着シャツ,はだぎシャツ,KAOS DALAM,着替えのために肌着シャツを準備します。,Siapkan kaos dalam untuk mengganti pakaian.,利用者が使いやすいように肌着シャツを整えます。,Atur kaos dalam agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,浴衣,ゆかた,YUKATA,着替えのために浴衣を準備します。,Siapkan yukata untuk mengganti pakaian.,利用者が使いやすいように浴衣を整えます。,Atur yukata agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,パンツ,,CELANA DALAM,着替えのためにパンツを準備します。,Siapkan celana dalam untuk mengganti pakaian.,利用者が使いやすいようにパンツを整えます。,Atur celana dalam agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,靴,くつ,SEPATU,着替えのために靴を準備します。,Siapkan sepatu untuk mengganti pakaian.,利用者が使いやすいように靴を整えます。,Atur sepatu agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,靴下,くつした,KAUS KAKI,着替えのために靴下を準備します。,Siapkan kaus kaki untuk mengganti pakaian.,利用者が使いやすいように靴下を整えます。,Atur kaus kaki agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,ズボン,,CELANA PANJANG,着替えのためにズボンを準備します。,Siapkan celana panjang untuk mengganti pakaian.,利用者が使いやすいようにズボンを整えます。,Atur celana panjang agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,スカート,,ROK,着替えのためにスカートを準備します。,Siapkan rok untuk mengganti pakaian.,利用者が使いやすいようにスカートを整えます。,Atur rok agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,上ばき,うわばき,SEPATU DALAM RUANG,着替えのために上ばきを準備します。,Siapkan sepatu dalam ruang untuk mengganti pakaian.,利用者が使いやすいように上ばきを整えます。,Atur sepatu dalam ruang agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,スリッパ,,SANDAL RUMAH,着替えのためにスリッパを準備します。,Siapkan sandal rumah untuk mengganti pakaian.,利用者が使いやすいようにスリッパを整えます。,Atur sandal rumah agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,マフラー,,SYAL,着替えのためにマフラーを準備します。,Siapkan syal untuk mengganti pakaian.,利用者が使いやすいようにマフラーを整えます。,Atur syal agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,手袋,てぶくろ,SARUNG TANGAN,着替えのために手袋を準備します。,Siapkan sarung tangan untuk mengganti pakaian.,利用者が使いやすいように手袋を整えます。,Atur sarung tangan agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,ベルト,,IKAT PINGGANG,着替えのためにベルトを準備します。,Siapkan ikat pinggang untuk mengganti pakaian.,利用者が使いやすいようにベルトを整えます。,Atur ikat pinggang agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,ゴム,,KARET,着替えのためにゴムを準備します。,Siapkan karet untuk mengganti pakaian.,利用者が使いやすいようにゴムを整えます。,Atur karet agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,紐,ひも,TALI,着替えのために紐を準備します。,Siapkan tali untuk mengganti pakaian.,利用者が使いやすいように紐を整えます。,Atur tali agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,えり,,KERAH,着替えのためにえりを準備します。,Siapkan kerah untuk mengganti pakaian.,利用者が使いやすいようにえりを整えます。,Atur kerah agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,そで,,LENGAN,着替えのためにそでを準備します。,Siapkan lengan untuk mengganti pakaian.,利用者が使いやすいようにそでを整えます。,Atur lengan agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,そで口,そでぐち,MANSET / UJUNG LENGAN BAJU,着替えのためにそで口を準備します。,Siapkan manset / ujung lengan baju untuk mengganti pakaian.,利用者が使いやすいようにそで口を整えます。,Atur manset / ujung lengan baju agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,ボタン,,KANCING,着替えのためにボタンを準備します。,Siapkan kancing untuk mengganti pakaian.,利用者が使いやすいようにボタンを整えます。,Atur kancing agar mudah digunakan oleh pengguna layanan.
Bagian Pakaian,ファスナー,,RITSLETING,着替えのためにファスナーを準備します。,Siapkan ritsleting untuk mengganti pakaian.,利用者が使いやすいようにファスナーを整えます。,Atur ritsleting agar mudah digunakan oleh pengguna layanan.
Bagian Mandi dan Kebersihan,脱衣室,だついしつ,RUANG GANTI,入浴前に脱衣室を準備します。,Siapkan ruang ganti sebelum mandi.,入浴後、脱衣室を使って身だしなみを整えます。,"Setelah mandi, gunakan ruang ganti untuk merapikan diri."
Bagian Mandi dan Kebersihan,バスタオル,,HANDUK MANDI,入浴前にバスタオルを準備します。,Siapkan handuk mandi sebelum mandi.,入浴後、バスタオルを使って身だしなみを整えます。,"Setelah mandi, gunakan handuk mandi untuk merapikan diri."
Bagian Mandi dan Kebersihan,ドライヤー,,PENGERING RAMBUT,入浴前にドライヤーを準備します。,Siapkan pengering rambut sebelum mandi.,入浴後、ドライヤーを使って身だしなみを整えます。,"Setelah mandi, gunakan pengering rambut untuk merapikan diri."
Bagian Mandi dan Kebersihan,シャンプー,,SAMPO,入浴前にシャンプーを準備します。,Siapkan sampo sebelum mandi.,入浴後、シャンプーを使って身だしなみを整えます。,"Setelah mandi, gunakan sampo untuk merapikan diri."
Bagian Mandi dan Kebersihan,リンス,,KONDISIONER,入浴前にリンスを準備します。,Siapkan kondisioner sebelum mandi.,入浴後、リンスを使って身だしなみを整えます。,"Setelah mandi, gunakan kondisioner untuk merapikan diri."
Bagian Mandi dan Kebersihan,鏡,かがみ,CERMIN,入浴前に鏡を準備します。,Siapkan cermin sebelum mandi.,入浴後、鏡を使って身だしなみを整えます。,"Setelah mandi, gunakan cermin untuk merapikan diri."
Bagian Mandi dan Kebersihan,シャワー,,SHOWER,入浴前にシャワーを準備します。,Siapkan shower sebelum mandi.,入浴後、シャワーを使って身だしなみを整えます。,"Setelah mandi, gunakan shower untuk merapikan diri."
Bagian Mandi dan Kebersihan,シャワーハット,,TOPI MANDI/KERAMAS,入浴前にシャワーハットを準備します。,Siapkan topi mandi/keramas sebelum mandi.,入浴後、シャワーハットを使って身だしなみを整えます。,"Setelah mandi, gunakan topi mandi/keramas untuk merapikan diri."
Bagian Mandi dan Kebersihan,タオル,,HANDUK,入浴前にタオルを準備します。,Siapkan handuk sebelum mandi.,入浴後、タオルを使って身だしなみを整えます。,"Setelah mandi, gunakan handuk untuk merapikan diri."
Bagian Mandi dan Kebersihan,バスマット,,KESET KAMAR MAND,入浴前にバスマットを準備します。,Siapkan keset kamar mand sebelum mandi.,入浴後、バスマットを使って身だしなみを整えます。,"Setelah mandi, gunakan keset kamar mand untuk merapikan diri."
Bagian Mandi dan Kebersihan,洗面器,せんめんき,"BASKOM, BAK PLASTIK",入浴前に洗面器を準備します。,"Siapkan baskom, bak plastik sebelum mandi.",入浴後、洗面器を使って身だしなみを整えます。,"Setelah mandi, gunakan baskom, bak plastik untuk merapikan diri."
Bagian Mandi dan Kebersihan,シャワーチェア,,KURSI MANDI,入浴前にシャワーチェアを準備します。,Siapkan kursi mandi sebelum mandi.,入浴後、シャワーチェアを使って身だしなみを整えます。,"Setelah mandi, gunakan kursi mandi untuk merapikan diri."
Bagian Mandi dan Kebersihan,せっけん,,SABUN,入浴前にせっけんを準備します。,Siapkan sabun sebelum mandi.,入浴後、せっけんを使って身だしなみを整えます。,"Setelah mandi, gunakan sabun untuk merapikan diri."
Bagian Mandi dan Kebersihan,浴そう,よくそう,BAK MANDI,入浴前に浴そうを準備します。,Siapkan bak mandi sebelum mandi.,入浴後、浴そうを使って身だしなみを整えます。,"Setelah mandi, gunakan bak mandi untuk merapikan diri."
Bagian Mandi dan Kebersihan,浴室,よくしつ,KAMAR MANDI,入浴前に浴室を準備します。,Siapkan kamar mandi sebelum mandi.,入浴後、浴室を使って身だしなみを整えます。,"Setelah mandi, gunakan kamar mandi untuk merapikan diri."
Bagian Mandi dan Kebersihan,歯ブラシ,はブラシ,SIKAT GIGI,入浴前に歯ブラシを準備します。,Siapkan sikat gigi sebelum mandi.,入浴後、歯ブラシを使って身だしなみを整えます。,"Setelah mandi, gunakan sikat gigi untuk merapikan diri."
Bagian Mandi dan Kebersihan,歯磨き粉,はみがきこ,PASTA GIGI,入浴前に歯磨き粉を準備します。,Siapkan pasta gigi sebelum mandi.,入浴後、歯磨き粉を使って身だしなみを整えます。,"Setelah mandi, gunakan pasta gigi untuk merapikan diri."
Bagian Mandi dan Kebersihan,シェーバー,,ALAT CUKUR,入浴前にシェーバーを準備します。,Siapkan alat cukur sebelum mandi.,入浴後、シェーバーを使って身だしなみを整えます。,"Setelah mandi, gunakan alat cukur untuk merapikan diri."
Bagian Mandi dan Kebersihan,化粧水,けしょうすい,TONER,入浴前に化粧水を準備します。,Siapkan toner sebelum mandi.,入浴後、化粧水を使って身だしなみを整えます。,"Setelah mandi, gunakan toner untuk merapikan diri."
Bagian Mandi dan Kebersihan,耳かき,みみかき,PEMBERSIH TELINGA,入浴前に耳かきを準備します。,Siapkan pembersih telinga sebelum mandi.,入浴後、耳かきを使って身だしなみを整えます。,"Setelah mandi, gunakan pembersih telinga untuk merapikan diri."
Bagian Mandi dan Kebersihan,爪切り,つめきり,GUNTING KUKU,入浴前に爪切りを準備します。,Siapkan gunting kuku sebelum mandi.,入浴後、爪切りを使って身だしなみを整えます。,"Setelah mandi, gunakan gunting kuku untuk merapikan diri."
Bagian Mandi dan Kebersihan,クリーム,,KRIM,入浴前にクリームを準備します。,Siapkan krim sebelum mandi.,入浴後、クリームを使って身だしなみを整えます。,"Setelah mandi, gunakan krim untuk merapikan diri."
Bagian Mandi dan Kebersihan,ブラシ,,SIKAT (SISIR BRUSH),入浴前にブラシを準備します。,Siapkan sikat (sisir brush) sebelum mandi.,入浴後、ブラシを使って身だしなみを整えます。,"Setelah mandi, gunakan sikat (sisir brush) untuk merapikan diri."
Bagian Mandi dan Kebersihan,くし,,SISIR,入浴前にくしを準備します。,Siapkan sisir sebelum mandi.,入浴後、くしを使って身だしなみを整えます。,"Setelah mandi, gunakan sisir untuk merapikan diri."
Bagian Ruang dan Kamar Pasien,戸,と,PINTU,居室の戸を確認します。,Periksa pintu di kamar pengguna layanan.,利用者が快適に過ごせるように戸を整えます。,Atur pintu agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,窓,まど,JENDELA,居室の窓を確認します。,Periksa jendela di kamar pengguna layanan.,利用者が快適に過ごせるように窓を整えます。,Atur jendela agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,網戸,あみど,PINTU KASA KOTAK-KOTAK,居室の網戸を確認します。,Periksa pintu kasa kotak-kotak di kamar pengguna layanan.,利用者が快適に過ごせるように網戸を整えます。,Atur pintu kasa kotak-kotak agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,電気,でんき,"LISTRIK, LAMPU",部屋に入る前に電気をつけます。,Nyalakan lampu sebelum masuk kamar.,利用者が寝るときは電気を消します。,Matikan lampu saat pengguna layanan tidur.
Bagian Ruang dan Kamar Pasien,カーテン,,TIRAI,居室のカーテンを確認します。,Periksa tirai di kamar pengguna layanan.,利用者が快適に過ごせるようにカーテンを整えます。,Atur tirai agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,テレビ,,TELEVISI,居室のテレビを確認します。,Periksa televisi di kamar pengguna layanan.,利用者が快適に過ごせるようにテレビを整えます。,Atur televisi agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,携帯電話,けいたいでんわ,TELEPON SELULER,利用者の携帯電話を充電します。,Isi daya telepon seluler pengguna layanan.,携帯電話を使う場所を確認します。,Periksa tempat yang sesuai untuk menggunakan telepon seluler.
Bagian Ruang dan Kamar Pasien,タンス,,LEMARI LACI,居室のタンスを確認します。,Periksa lemari laci di kamar pengguna layanan.,利用者が快適に過ごせるようにタンスを整えます。,Atur lemari laci agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,ごみ箱,ごみばこ,TEMPAT SAMPAH,居室のごみ箱を確認します。,Periksa tempat sampah di kamar pengguna layanan.,利用者が快適に過ごせるようにごみ箱を整えます。,Atur tempat sampah agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,洗濯機,せんたくき,MESIN CUCI,居室の洗濯機を確認します。,Periksa mesin cuci di kamar pengguna layanan.,利用者が快適に過ごせるように洗濯機を整えます。,Atur mesin cuci agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,乾燥機,かんそうき,MESIN PENGERING,居室の乾燥機を確認します。,Periksa mesin pengering di kamar pengguna layanan.,利用者が快適に過ごせるように乾燥機を整えます。,Atur mesin pengering agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,ティッシュペーパー,,TISU,居室のティッシュペーパーを確認します。,Periksa tisu di kamar pengguna layanan.,利用者が快適に過ごせるようにティッシュペーパーを整えます。,Atur tisu agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,洗剤,せんざい,DETERGEN,居室の洗剤を確認します。,Periksa detergen di kamar pengguna layanan.,利用者が快適に過ごせるように洗剤を整えます。,Atur detergen agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,水道,すいどう,AIR KERAN,手を洗ったあと、水道の水を止めます。,"Setelah mencuci tangan, matikan keran air.",水道から水が出るか確認します。,Periksa apakah air keluar dari keran.
Bagian Ruang dan Kamar Pasien,雑巾,ぞうきん,LAP,居室の雑巾を確認します。,Periksa lap di kamar pengguna layanan.,利用者が快適に過ごせるように雑巾を整えます。,Atur lap agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,バケツ,,EMBER,居室のバケツを確認します。,Periksa ember di kamar pengguna layanan.,利用者が快適に過ごせるようにバケツを整えます。,Atur ember agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,湯たんぽ,ゆたんぽ,BOTOL PENGHANGAT,居室の湯たんぽを確認します。,Periksa botol penghangat di kamar pengguna layanan.,利用者が快適に過ごせるように湯たんぽを整えます。,Atur botol penghangat agar pengguna layanan dapat merasa nyaman.
Bagian Ruang dan Kamar Pasien,新聞,しんぶん,"SURAT KABAR, KORAN",朝、利用者に新聞を渡します。,"Pagi hari, berikan koran kepada pengguna layanan.",利用者は新聞を読んで過ごします。,Pengguna layanan menghabiskan waktu dengan membaca koran.
Bagian Ruang dan Kamar Pasien,写真,しゃしん,FOTO,利用者の部屋に写真を飾ります。,Pasang foto di kamar pengguna layanan.,家族の写真を見ながら、利用者と話します。,Bicaralah dengan pengguna layanan sambil melihat foto keluarga.
Bagian Keluarga,父,ちち,AYAH,利用者の父について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang ayah pengguna layanan.,必要なときは父に連絡して状況を説明します。,"Jika diperlukan, hubungi ayah untuk menjelaskan situasinya."
Bagian Keluarga,母,はは,IBU,利用者の母について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang ibu pengguna layanan.,必要なときは母に連絡して状況を説明します。,"Jika diperlukan, hubungi ibu untuk menjelaskan situasinya."
Bagian Keluarga,夫,おっと,SUAMI,利用者の夫について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang suami pengguna layanan.,必要なときは夫に連絡して状況を説明します。,"Jika diperlukan, hubungi suami untuk menjelaskan situasinya."
Bagian Keluarga,妻,つま,ISTRI,利用者の妻について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang istri pengguna layanan.,必要なときは妻に連絡して状況を説明します。,"Jika diperlukan, hubungi istri untuk menjelaskan situasinya."
Bagian Keluarga,息子,むすこ,ANAK LAKI-LAKI,利用者の息子について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang anak laki-laki pengguna layanan.,必要なときは息子に連絡して状況を説明します。,"Jika diperlukan, hubungi anak laki-laki untuk menjelaskan situasinya."
Bagian Keluarga,娘,むすめ,ANAK PEREMPUAN,利用者の娘について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang anak perempuan pengguna layanan.,必要なときは娘に連絡して状況を説明します。,"Jika diperlukan, hubungi anak perempuan untuk menjelaskan situasinya."
Bagian Keluarga,孫,まご,CUCU,利用者の孫について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang cucu pengguna layanan.,必要なときは孫に連絡して状況を説明します。,"Jika diperlukan, hubungi cucu untuk menjelaskan situasinya."
Bagian Keluarga,兄,あに,KAKAK LAKI-LAKI,利用者の兄について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang kakak laki-laki pengguna layanan.,必要なときは兄に連絡して状況を説明します。,"Jika diperlukan, hubungi kakak laki-laki untuk menjelaskan situasinya."
Bagian Keluarga,弟,おとうと,ADIK LAKI-LAKI,利用者の弟について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang adik laki-laki pengguna layanan.,必要なときは弟に連絡して状況を説明します。,"Jika diperlukan, hubungi adik laki-laki untuk menjelaskan situasinya."
Bagian Keluarga,姉,あね,KAKAK PEREMPUAN,利用者の姉について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang kakak perempuan pengguna layanan.,必要なときは姉に連絡して状況を説明します。,"Jika diperlukan, hubungi kakak perempuan untuk menjelaskan situasinya."
Bagian Keluarga,妹,いもうと,ADIK PEREMPUAN,利用者の妹について家族から話を聞きます。,Dengarkan informasi dari keluarga tentang adik perempuan pengguna layanan.,必要なときは妹に連絡して状況を説明します。,"Jika diperlukan, hubungi adik perempuan untuk menjelaskan situasinya."
Bagian Pekerjaan,医師,いし,DOKTER,体調に変化があったら、医師に報告します。,"Jika kondisi tubuh berubah, laporkan kepada dokter.",医師から利用者の状態について説明を受けます。,Dapatkan penjelasan dari dokter mengenai kondisi pengguna layanan.
Bagian Pekerjaan,看護師,かんごし,PERAWAT,体調に変化があったら、看護師に報告します。,"Jika kondisi tubuh berubah, laporkan kepada perawat.",看護師と相談して、利用者のケアを行います。,Lakukan perawatan pengguna layanan setelah berkonsultasi dengan perawat.
Bagian Pekerjaan,介護福祉士,かいごふくしし,PERAWAT LANSIA BERSERTIFIKA,介護福祉士が利用者の食事介助を行います。,Pekerja perawatan lansia bersertifikat membantu pengguna layanan makan.,介護福祉士に利用者の状態について相談します。,Konsultasikan kondisi pengguna layanan kepada pekerja perawatan lansia bersertifikat.
Bagian Pekerjaan,介護職員,かいごしょくいん,STAF PERAWAT LANSIA,介護職員は利用者の安全を確認します。,Staf perawatan lansia memeriksa keselamatan pengguna layanan.,介護職員同士で利用者の情報を共有します。,Staf perawatan lansia berbagi informasi tentang pengguna layanan.
Bagian Pekerjaan,理学療法士,りがくりょうほうし,TERAPIS FISIK (PT),理学療法士と一緒に歩行訓練を行います。,Lakukan latihan berjalan bersama fisioterapis.,利用者の歩行について理学療法士に相談します。,Konsultasikan tentang kemampuan berjalan pengguna layanan kepada fisioterapis.
Bagian Pekerjaan,作業療法士,さぎょうりょうほうし,TERAPIS KERJA (OT),作業療法士と一緒に日常生活の訓練を行います。,Lakukan latihan aktivitas sehari-hari bersama terapis okupasi.,手の動きについて作業療法士に相談します。,Konsultasikan pergerakan tangan kepada terapis okupasi.
Bagian Pekerjaan,言語聴覚士,げんごちょうかくし,TERAPIS WICARA DAN BAHASA (ST),言語聴覚士が利用者の発音を確認します。,Terapis wicara dan bahasa memeriksa pengucapan pengguna layanan.,食べ物を飲み込むことについて言語聴覚士に相談します。,Konsultasikan masalah menelan makanan kepada terapis wicara dan bahasa.
Bagian Pekerjaan,介護支援専門員,かいごしえんせんもんいん,CARE MANAGER / MANAJER PERAWATAN,介護支援専門員にケアプランについて相談します。,Konsultasikan rencana perawatan kepada care manager.,介護支援専門員とサービスの内容を確認します。,Periksa isi layanan bersama care manager.
Bagian Pekerjaan,栄養士,えいようし,AHLI GIZI,栄養士に食事内容について相談します。,Konsultasikan menu makanan kepada ahli gizi.,栄養士が利用者に合った食事を考えます。,Ahli gizi memikirkan makanan yang sesuai untuk pengguna layanan.
Bagian Pekerjaan,相談員,そうだんいん,KONSELOR,困ったことがあれば相談員に相談します。,"Jika ada masalah, konsultasikan kepada konselor.",相談員が利用者や家族の話を聞きます。,Konselor mendengarkan cerita pengguna layanan dan keluarganya.
Bagian Pekerjaan,利用者,りようしゃ,PENGGUNA LAYANAN / KLIEN,介護職員は利用者の体調を確認します。,Pekerja perawatan memeriksa kondisi tubuh pengguna layanan.,利用者が安心して過ごせるように声をかけます。,Sapa pengguna layanan agar ia dapat merasa tenang.
Bagian Pekerjaan,患者,かんじゃ,PASIEN,患者の体調を確認して、看護師に報告します。,Periksa kondisi pasien lalu laporkan kepada perawat.,患者が不安にならないように、ゆっくり説明します。,Jelaskan dengan perlahan agar pasien tidak merasa cemas.
Tubuh Bagian Dalam,脳,のう,OTAK,検査で脳の状態を確認します。,Periksa kondisi otak melalui pemeriksaan.,脳に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada otak, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,気管,きかん,TRAKEA,検査で気管の状態を確認します。,Periksa kondisi trakea melalui pemeriksaan.,気管に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada trakea, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,気管支,きかんし,BRONKUS,検査で気管支の状態を確認します。,Periksa kondisi bronkus melalui pemeriksaan.,気管支に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada bronkus, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,食道,しょくどう,KERONGKONGAN,検査で食道の状態を確認します。,Periksa kondisi kerongkongan melalui pemeriksaan.,食道に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada kerongkongan, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,肺,はい,PARU-PARU,検査で肺の状態を確認します。,Periksa kondisi paru-paru melalui pemeriksaan.,肺に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada paru-paru, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,肝臓,かんぞう,HATI,検査で肝臓の状態を確認します。,Periksa kondisi hati melalui pemeriksaan.,肝臓に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada hati, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,腎臓,じんぞう,GINJAL,検査で腎臓の状態を確認します。,Periksa kondisi ginjal melalui pemeriksaan.,腎臓に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada ginjal, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,小腸,しょうちょう,USUS KECIL,検査で小腸の状態を確認します。,Periksa kondisi usus kecil melalui pemeriksaan.,小腸に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada usus kecil, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,大腸,だいちょう,USUS BESAR,検査で大腸の状態を確認します。,Periksa kondisi usus besar melalui pemeriksaan.,大腸に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada usus besar, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,膀胱,ぼうこう,KANDUNG KEMIH,検査で膀胱の状態を確認します。,Periksa kondisi kandung kemih melalui pemeriksaan.,膀胱に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada kandung kemih, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,直腸,ちょくちょう,REKTUM,検査で直腸の状態を確認します。,Periksa kondisi rektum melalui pemeriksaan.,直腸に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada rektum, laporkan kepada tenaga medis."
Tubuh Bagian Dalam,肛門,こうもん,ANUS,検査で肛門の状態を確認します。,Periksa kondisi anus melalui pemeriksaan.,肛門に異常がある場合は、医療職へ報告します。,"Jika terdapat kelainan pada anus, laporkan kepada tenaga medis."
Bagian Kesehatan,吐き気,はきけ,MUAL,利用者に吐き気があるか確認します。,Periksa apakah pengguna layanan merasa mual.,吐き気が続く場合は、看護師に報告します。,"Jika mual berlanjut, laporkan kepada perawat."
Bagian Kesehatan,痰,たん,DAHAK,利用者に痰が出ていないか確認します。,Periksa apakah pengguna layanan mengeluarkan dahak.,痰が多い場合は、看護師に報告します。,"Jika dahak banyak, laporkan kepada perawat."
Bagian Kesehatan,熱,ねつ,DEMAM,利用者に熱がないか確認します。,Periksa apakah pengguna layanan mengalami demam.,熱がある場合は、体温を測定します。,"Jika demam, ukur suhu tubuh."
Bagian Kesehatan,咳,せき,BATUK,利用者に咳が出ていないか確認します。,Periksa apakah pengguna layanan mengalami batuk.,咳が続く場合は、看護師に報告します。,"Jika batuk berlanjut, laporkan kepada perawat."
Bagian Kesehatan,痛み,いたみ,SAKIT,利用者に痛みがないか確認します。,Periksa apakah pengguna layanan merasa sakit.,痛みが強い場合は、すぐに看護師へ報告します。,"Jika rasa sakit berat, segera laporkan kepada perawat."
Bagian Kesehatan,かゆみ,,GATAL,利用者のかゆみを確認します。,Periksa gatal pengguna layanan.,かゆみに変化があった場合は、すぐに報告します。,"Jika terjadi perubahan pada gatal, segera laporkan."
Bagian Kesehatan,体温,たいおん,SUHU TUBUH,利用者の体温を測定します。,Ukur suhu tubuh pengguna layanan.,体温に変化があった場合は、記録します。,"Jika suhu tubuh berubah, catat hasilnya."
Bagian Kesehatan,脈拍,みゃくはく,DENYUT NADI,利用者の脈拍を測定します。,Ukur denyut nadi pengguna layanan.,脈拍に異常がないか確認します。,Periksa apakah denyut nadi normal.
Bagian Kesehatan,呼吸,こきゅう,PERNAPASAN,利用者の呼吸状態を確認します。,Periksa kondisi pernapasan pengguna layanan.,呼吸が苦しそうな場合は、すぐに看護師へ報告します。,"Jika pengguna layanan tampak kesulitan bernapas, segera laporkan kepada perawat."
Bagian Kesehatan,測定,そくてい,PENGUKURAN,体温の測定を行います。,Lakukan pengukuran suhu tubuh.,測定した結果を記録します。,Catat hasil pengukuran.
Bagian Kesehatan,体調,たいちょう,KONDISI TUBUH,毎朝、利用者の体調を確認します。,"Setiap pagi, periksa kondisi tubuh pengguna layanan.",体調が悪いときは、無理をさせません。,"Jika kondisi tubuh buruk, jangan memaksakan aktivitas."
Bagian Kesehatan,表情,ひょうじょう,EKSPRESI,利用者の表情を見て、体調を確認します。,Perhatikan ekspresi pengguna layanan untuk memeriksa kondisinya.,いつもと表情が違う場合は、声をかけます。,"Jika ekspresinya berbeda dari biasanya, ajak berbicara."
Bagian Kesehatan,下痢,げり,DIARE,利用者に下痢がないか確認します。,Periksa apakah pengguna layanan mengalami diare.,下痢が続く場合は、看護師に報告します。,"Jika diare berlanjut, laporkan kepada perawat."
Bagian Kesehatan,便秘,べんぴ,SEMBELIT,利用者に便秘がないか確認します。,Periksa apakah pengguna layanan mengalami sembelit.,便秘が続く場合は、看護師に相談します。,"Jika sembelit berlanjut, konsultasikan kepada perawat."
